"('beespoke', 'BEE-spoke-data/smol_llama-81M-tied')","('beespoke', 'BEE-spoke-data/smol_llama-101M-GQA')","('stabilityai', 'stabilityai/stablelm-2-1_6b')","('beespoke', 'BEE-spoke-data/verysmol_llama-v11-KIx2')","('stabilityai', 'stabilityai/stablelm-3b-4e1t')","('stabilityai', 'stabilityai/stablelm-base-alpha-3b')","('bigcode', 'bigcode/gpt_bigcode-santacoder')","('cyberagent', 'cyberagent/open-calm-large')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-126m')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-1.3b')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-356m')","('h2oai', 'h2oai/h2o-danube-1.8b-base')","('turkunlp', 'TurkuNLP/gpt3-finnish-small')","('budecosystem', 'budecosystem/boomer-1b')","('stabilityai', 'stabilityai/stablelm-base-alpha-7b')","('turkunlp', 'TurkuNLP/gpt3-finnish-large')","('itsliupeng', 'itsliupeng/openllama-7b-base')","('jackfram', 'JackFram/llama-160m')","('scb10x', 'scb10x/typhoon-7b')","('sail', 'sail/Sailor-1.8B')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-6.7b-v2')","('ahxt', 'ahxt/LiteLlama-460M-1T')","('falladrin', 'Felladrin/Minueza-32M-Base')","('dampish', 'Dampish/StellarX-4B-V0.2')","('sail', 'sail/Sailor-4B')","('bloom', 'bigscience/bloom-3b')","('sail', 'sail/Sailor-0.5B')","('nytk', 'NYTK/PULI-GPTrio')","('cerebras', 'cerebras/Cerebras-GPT-111M')","('starcoder', 'bigcode/starcoderbase-1b')","('gordicaleksa', 'gordicaleksa/YugoGPT')","('sail', 'sail/Sailor-7B')","('pythia', 'EleutherAI/pythia-160m')","('vilm', 'vilm/Mixsmol-4x400M-v0.1-epoch2')","('bloom', 'bigscience/bloom-7b1')","('cerebras', 'cerebras/Cerebras-GPT-2.7B')","('pythia', 'EleutherAI/pythia-1b-deduped')","('pythia', 'EleutherAI/pythia-1.4b-deduped')","('pythia', 'EleutherAI/pythia-1.4b-v0')","('pythia', 'EleutherAI/pythia-410m')","('pythia', 'EleutherAI/pythia-410m-deduped')","('llm360', 'LLM360/Amber')","('pythia', 'EleutherAI/pythia-2.8b-deduped')","('cerebras', 'cerebras/Cerebras-GPT-6.7B')","('Wanfq', 'Wanfq/FuseLLM-7B')","('pythia', 'EleutherAI/pythia-2.8b-v0')","('tencentarc', 'TencentARC/Mistral_Pro_8B_v0.1')","('tencentarc', 'TencentARC/LLaMA-Pro-8B')","('starcoder', 'bigcode/starcoderbase-7b')","('gpt-neo', 'EleutherAI/gpt-neo-125m')","('pythia', 'EleutherAI/pythia-6.9b-deduped')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step100000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step120000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step140000')","('falcon', 'tiiuae/falcon-rw-1b')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step20000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step40000')","('gpt-neo', 'EleutherAI/gpt-neo-1.3B')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step60000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step80000')","('pythia', 'EleutherAI/pythia-6.9b-v0')","('phi', 'microsoft/phi-1_5')","('gpt-neo', 'EleutherAI/gpt-neo-2.7B')","('qwen', 'Qwen/Qwen1.5-0.5B')","('mistral', 'mistralai/Mistral-7B-v0.1')","('opt', 'facebook/opt-2.7b')","('qwen', 'Qwen/Qwen1.5-1.8B')","('open-llama', 'openlm-research/open_llama_3b')","('qwen', 'Qwen/Qwen1.5-7B')","('open-llama', 'openlm-research/open_llama_3b_v2')","('codellama', 'codellama/CodeLlama-7b-hf')","('falcon', 'tiiuae/falcon-7b')","('qwen', 'Qwen/Qwen1.5-4B')","('llama', 'meta-llama/Llama-2-7b-hf')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-intermediate-step-240k-503b')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-intermediate-step-480k-1T')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-step-50K-105b')","('open-llama', 'openlm-research/open_llama_7b_v2')","('mpt', 'mosaicml/mpt-7b-8k')","('xglm', 'facebook/xglm-564M')","('amber', 'LLM360/Amber')","('xglm', 'facebook/xglm-7.5B')","('xglm', 'facebook/xglm-4.5B')","('decilm', 'Deci/DeciLM-7B')","('statespaces', 'state-spaces/mamba-130m-hf')","('statespaces', 'state-spaces/mamba-370m-hf')","('statespaces', 'state-spaces/mamba-790m-hf')","('starcoder', 'bigcode/starcoderbase-3b')","('statespaces', 'state-spaces/mamba-1.4b-hf')"
0.1165524915448431,0.1198485742700139,0.7375624198392075,0.1112132897946639,0.7607139070972281,0.3458116641859911,0.3176209205916748,0.1538566952052327,0.2467425462434878,0.6482518985309154,0.4812458084377395,0.6744838317941511,0.1090391690032027,0.1731823970889489,0.4369591923779763,0.270463403513229,0.7579018633557072,0.061802918891685,0.8030993498876687,0.6319453848066904,0.7575523419783046,0.2615928565417945,0.053724849246258,0.476400748089392,0.7232736844696207,0.6149810664954014,0.518099147018093,0.5520094272111025,0.078576315261782,0.4488364069681574,0.800011987956943,0.7787633616840042,0.1642281651129896,0.1953914835087009,0.6902049316944154,0.5222459191273108,0.5402192652637166,0.5679676824310945,0.5536135926979943,0.4215551888674927,0.4075990872401399,0.7319258948946106,0.6338239660348582,0.6267707183852186,0.7759399882312363,0.6246821334506055,0.785928660122896,0.7825753582228281,0.6179238359509499,0.2535553242087526,0.6677710226632423,0.6574958804144626,0.6591460163271691,0.6676219283305095,0.633428115047572,0.4381009003083614,0.574008401088446,0.5491801275201256,0.6180508796980196,0.6256691396472582,0.6608654070261991,0.6855733139135014,0.6033326773979807,0.6034375891943815,0.8074042614933896,0.6437505430713358,0.6913132670714855,0.6835711142591523,0.7777023595658846,0.6861276306765455,0.7325385511906102,0.7233406955712763,0.7813217322314322,0.7735291279262317,0.6059766092924183,0.4922236744203608,0.5277017245406951,0.388567191937022,0.7476234412782227,0.7732460740282584,0.0219705614920316,0.7319258948946106,0.4009051715537722,0.2545278300592018,0.76407961541244,0.2457919648713255,0.3427254484851234,0.416499731322904,0.5733565198905047,0.4268841771998836
0.2217391304347826,0.2130434782608695,0.1782608695652174,0.2130434782608695,0.1782608695652174,0.2260869565217391,0.2304347826086956,0.2260869565217391,0.2521739130434782,0.2043478260869565,0.2043478260869565,0.2347826086956521,0.217391304347826,0.2,0.2260869565217391,0.208695652173913,0.2,0.2260869565217391,0.208695652173913,0.2304347826086956,0.217391304347826,0.2391304347826087,0.2391304347826087,0.1608695652173913,0.208695652173913,0.1913043478260869,0.208695652173913,0.217391304347826,0.208695652173913,0.1869565217391304,0.2,0.2043478260869565,0.2217391304347826,0.2217391304347826,0.2217391304347826,0.1739130434782608,0.2304347826086956,0.2434782608695652,0.2565217391304348,0.2260869565217391,0.2391304347826087,0.2608695652173913,0.208695652173913,0.2,0.2043478260869565,0.2130434782608695,0.1434782608695652,0.1956521739130435,0.2,0.2478260869565217,0.1739130434782608,0.1956521739130435,0.1869565217391304,0.1782608695652174,0.2043478260869565,0.2434782608695652,0.2130434782608695,0.2347826086956521,0.2347826086956521,0.1869565217391304,0.2391304347826087,0.1826086956521739,0.2130434782608695,0.2260869565217391,0.1739130434782608,0.1913043478260869,0.1956521739130435,0.1739130434782608,0.217391304347826,0.2130434782608695,0.2130434782608695,0.2217391304347826,0.208695652173913,0.2130434782608695,0.2043478260869565,0.2130434782608695,0.2,0.217391304347826,0.1826086956521739,0.1913043478260869,0.217391304347826,0.2608695652173913,0.1521739130434782,0.1956521739130435,0.1913043478260869,0.2217391304347826,0.2608695652173913,0.2217391304347826,0.217391304347826,0.2608695652173913
0.425084175084175,0.4343434343434343,0.7045454545454546,0.4015151515151515,0.7558922558922558,0.523989898989899,0.3535353535353535,0.3093434343434343,0.4154040404040404,0.6069023569023569,0.4911616161616162,0.7154882154882155,0.2878787878787879,0.4562289562289562,0.6165824915824916,0.3455387205387205,0.7596801346801347,0.4318181818181818,0.8173400673400674,0.6388888888888888,0.6914983164983165,0.5147306397306397,0.3451178451178451,0.5959595959595959,0.7281144781144782,0.6447811447811448,0.5694444444444444,0.6317340067340067,0.3573232323232323,0.4347643097643097,0.8148148148148148,0.7744107744107744,0.4444444444444444,0.4789562289562289,0.7003367003367004,0.601010101010101,0.6207912457912458,0.6308922558922558,0.6367845117845118,0.561026936026936,0.5437710437710438,0.7356902356902357,0.6771885521885522,0.6801346801346801,0.8051346801346801,0.6851851851851852,0.8417508417508418,0.7908249158249159,0.5374579124579124,0.4482323232323232,0.7087542087542088,0.6898148148148148,0.7032828282828283,0.710016835016835,0.6788720538720538,0.6127946127946128,0.6494107744107744,0.6018518518518519,0.6683501683501684,0.6771885521885522,0.7015993265993266,0.8009259259259259,0.6477272727272727,0.6132154882154882,0.8362794612794613,0.6468855218855218,0.6868686868686869,0.7213804713804713,0.8093434343434344,0.7032828282828283,0.7083333333333334,0.7714646464646465,0.7655723905723906,0.8013468013468014,0.6582491582491582,0.5934343434343434,0.6052188552188552,0.5547138047138047,0.7512626262626263,0.7622053872053872,0.4507575757575757,0.7356902356902357,0.6384680134680135,0.6275252525252525,0.8320707070707071,0.5004208754208754,0.5816498316498316,0.6498316498316499,0.4974747474747474,0.6662457912457912
0.1808873720136518,0.1877133105802047,0.4163822525597269,0.1902730375426621,0.4121160409556314,0.2261092150170648,0.1800341296928327,0.1646757679180887,0.1868600682593856,0.2815699658703072,0.204778156996587,0.3592150170648464,0.1843003412969283,0.1834470989761092,0.2832764505119454,0.1860068259385665,0.4308873720136519,0.2030716723549488,0.5332764505119454,0.3054607508532423,0.3592150170648464,0.2235494880546075,0.1706484641638225,0.3199658703071672,0.409556313993174,0.3276450511945392,0.2636518771331058,0.2824232081911262,0.1715017064846416,0.1902730375426621,0.5162116040955631,0.4769624573378839,0.1877133105802047,0.2175767918088737,0.3583617747440273,0.2687713310580205,0.2602389078498293,0.2815699658703072,0.2773037542662116,0.227815699658703,0.2269624573378839,0.3856655290102389,0.3208191126279863,0.310580204778157,0.5051194539249146,0.3284982935153583,0.5776450511945392,0.4854948805460751,0.2320819112627986,0.1885665529010239,0.3762798634812286,0.3515358361774744,0.3583617747440273,0.3720136518771331,0.318259385665529,0.2721843003412969,0.3054607508532423,0.2610921501706484,0.3139931740614334,0.3481228668941979,0.3626279863481229,0.4897610921501706,0.3037542662116041,0.2841296928327645,0.5546075085324232,0.3148464163822526,0.356655290102389,0.3720136518771331,0.5025597269624573,0.3549488054607508,0.3873720136518771,0.4274744027303754,0.4539249146757679,0.5,0.3165529010238908,0.2619453924914676,0.2696245733788396,0.2380546075085324,0.4138225255972696,0.4334470989761092,0.2030716723549488,0.3856655290102389,0.302901023890785,0.2858361774744027,0.5469283276450512,0.2150170648464164,0.2482935153583617,0.2875426621160409,0.2039249146757679,0.3139931740614334
0.186,0.1868,0.0,0.1096,0.0,0.0,0.0,0.0,0.2116,0.5664,0.48,0.6962,0.0,0.34,0.0,0.0,0.7204,0.0,0.718,0.0,0.6596,0.0,0.0534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7006,0.0,0.0,0.1498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702,0.0,0.0,0.7076,0.0,0.7086,0.7204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7252,0.0,0.0,0.7272,0.0,0.7154,0.687,0.0,0.0,0.7452,0.6796,0.5984,0.6048,0.559,0.7412,0.0,0.0006,0.702,0.0002,0.0,0.6936,0.0,0.0,0.0,0.0,0.0
0.287,0.359,0.176,0.367,0.251,0.379,0.315,0.314,0.419,0.376,0.379,0.417,0.002,0.431,0.302,0.263,0.553,0.0,0.478,0.323,0.445,0.212,0.161,0.246,0.223,0.173,0.277,0.27,0.325,0.277,0.338,0.197,0.344,0.436,0.13,0.309,0.284,0.287,0.361,0.357,0.37,0.434,0.307,0.344,0.438,0.365,0.506,0.458,0.257,0.272,0.246,0.274,0.26,0.293,0.239,0.344,0.328,0.213,0.251,0.256,0.309,0.152,0.289,0.255,0.526,0.295,0.19,0.499,0.209,0.351,0.587,0.22,0.141,0.504,0.449,0.365,0.359,0.424,0.455,0.176,0.0,0.434,0.339,0.458,0.386,0.286,0.295,0.297,0.286,0.265
0.1523809523809524,0.1,0.0,0.1047619047619047,0.0,0.0,0.0,0.0,0.1428571428571428,0.1761904761904762,0.1333333333333333,0.2238095238095238,0.0,0.1809523809523809,0.0,0.0,0.4285714285714285,0.0,0.5904761904761905,0.0,0.3476190476190476,0.0,0.0857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5904761904761905,0.0,0.0,0.1809523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319047619047619,0.0,0.0,0.4,0.0,0.6476190476190476,0.4571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6047619047619047,0.0,0.0,0.2761904761904762,0.0,0.2523809523809524,0.5047619047619047,0.0,0.0,0.4047619047619047,0.2571428571428571,0.2095238095238095,0.2142857142857142,0.1428571428571428,0.3809523809523809,0.0,0.0,0.319047619047619,0.1285714285714285,0.1142857142857142,0.5619047619047619,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.28125,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.40625,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34375,0.0,0.0,0.03125,0.0,0.0625,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.21875,0.0,0.0,0.0,0.0,0.0
0.3992424242424242,0.3257575757575757,0.0,0.3318181818181818,0.0,0.0,0.0,0.0,0.4484848484848485,0.4681818181818182,0.4666666666666667,0.4704545454545454,0.0,0.4181818181818181,0.0,0.0,0.4795454545454545,0.0,0.4431818181818182,0.0,0.4893939393939394,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4424242424242424,0.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478030303030303,0.0,0.0,0.4386363636363636,0.0,0.543939393939394,0.4431818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503030303030303,0.0,0.0,0.4765151515151515,0.0,0.4598484848484848,0.7022727272727273,0.0,0.0,0.4522727272727272,0.3659090909090909,0.4962121212121212,0.421969696969697,0.4568181818181818,0.4454545454545454,0.0,0.0022727272727272,0.478030303030303,0.3386363636363636,0.2257575757575757,0.4568181818181818,0.0,0.0,0.0,0.0,0.0
